Name,Ticker
Purpose Fund Corp. - Purpose High Interest Savings ETF,PSA.TO
BMO India Equity Index ETF,ZID.TO
First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged),FUD.TO
iShares S&P/TSX 60 Index ETF,XIU.TO
Purpose Fund Corp. - Purpose Best Ideas Fund,PBI.TO
iShares Japan Fundamental Index ETF (CAD-Hedged),CJP-A.TO
iShares Japan Fundamental Index ETF (CAD-Hedged),CJP.TO
BMO Low Volatility US Equity ETF,ZLU.TO
Lysander-Slater Preferred Share ActivETF,PR.TO
RUE-U.TO,RUE-U.TO
Purpose Fund Corp. - Purpose Multi-Strategy Market Neutral Fund,PMM.TO
BMO Mid-Term US IG Corporate Bond Index ETF,ZIC.TO
First Asset Morningstar International Value Index ETF,VXM-D.TO
iShares NASDAQ 100 Index ETF (CAD-Hedged),XQQ.TO
First Asset Morningstar National Bank Quebec Index ETF,QXM.TO
Purpose Fund Corp. - Purpose US Dividend Fund,PUD-B.TO
Purpose Fund Corp. - Purpose Enhanced U.S. Equity Fund,PEU-B.TO
First Asset Energy Giants Covered Call ETF,NXF-B.TO
First Asset Can-Energy Covered Call ETF,OXF-A.TO
PWRSHR FTSE RAFI US FDAMNTL ETF,PXS-U.TO
PowerShares LadderRite U.S. 0-5 Year Corporate Bond Index ETF,USB.TO
PURPOSE US CASH ETF,PSU-U.TO
PowerShares FTSE RAFI Canadian Fundamental Index ETF,PXC.TO
PWRSHR GLB SHAREHLDR YIELD USD,PSY-U.TO
PowerShares Ultra Liquid Long Term Government Bond Index ETF,PGL.TO
PowerShares Low Volatility Portfolio ETF,PLV.TO
Questrade Fixed Income Core Plus ETF,QCP.TO
iShares Premium Money Market ETF,CMR-A.TO
BMO Long Provincial Bond Index ETF,ZPL.TO
PWRSHR FTSE RAFI GLB SML MID FD,PZW-U.TO
RBC Quant U.S. Equity Leaders ETF,RUE.TO
RBC QUANT EUROPEAN DIV LEADERS,RPD-U.TO
RBC QUANT EAFE EQUITY LEADERS E,RIE-U.TO
Questrade Russell US Midcap Growth Index ETF Hedged to CAD,QMG.TO
RBC QUANT EMERGING MKTS DIV LEA,RXD-U.TO
First Asset Canadian REIT ETF,RIT-A.TO
First Asset MSCI Europe Low Risk Weighted ETF,RWE.TO
ROYAL CDN MINT CDN SVR RESERVES,MNS-U.TO
Royal Canadian Mint - Canadian Gold Reserves,MNT.TO
iShares Global Real Estate Index ETF,CGR.TO
First Asset MSCI Europe Low Risk Weighted ETF,RWE-A.TO
First Trust Global Risk Managed Income Index ETF,ETP-A.TO
First Asset MSCI USA Low Risk Weighted ETF,RWU.TO
ROYAL CANADIAN MINT CDN GLD RES,MNT-U.TO
First Asset MSCI World Low Risk Weighted ETF,RWW-B.TO
First Asset MSCI World Low Risk Weighted ETF,RWW-A.TO
RBC Strategic Global Equity Leaders ETF,RLE.TO
RBC Target 2015 Corporate Bond ETF,RQC.TO
RBC Target 2020 Corporate Bond Index ETF,RQH.TO
iShares Floating Rate Index ETF,XFR.TO
First Asset MSCI Canada Low Risk Weighted ETF,RWC-A.TO
RBC Target 2021 Corporate Bond Index ETF,RQI.TO
iShares Canadian Real Return Bond Index ETF,XRB.TO
First Asset Tech Giants Covered Call ETF,TXF.TO
iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged),XUH.TO
First Trust Tactical Bond Index ETF,FTB.TO
