Stock Symbol,Date,Price,1day,3day,5day,10day,30day,Residual Std Dev,Upper Bound,Lower Bound,Type
WEED.TO,2017-06-06,6.82,0.33999999999999986,1.0199999999999996,0.9399999999999995,1.08,1.5399999999999991,0.13798405705007324,8.390920285250367,7.011079714749634,Low
WEED.TO,2017-07-26,9.15,-0.20000000000000107,-0.120000000000001,-0.15000000000000036,-0.16000000000000014,0.02999999999999936,0.17720637686042195,9.11003188430211,7.33796811569789,High
WEED.TO,2017-08-21,8.51,0.16999999999999993,0.33000000000000007,0.39000000000000057,0.4900000000000002,2.9000000000000004,0.05940071080754703,9.214003554037735,8.619996445962265,Low
WEED.TO,2017-09-11,9.48,0.6199999999999992,0.5800000000000001,1.08,1.049999999999999,3.4499999999999993,0.07967545279303653,9.360377263965182,8.563622736034818,High
WEED.TO,2017-09-12,10.1,-0.1399999999999988,0.16999999999999993,0.6899999999999995,0.47000000000000064,2.9299999999999997,0.14268165809084699,9.739408290454234,8.312591709545766,High
WEED.TO,2017-10-05,12.67,-0.1899999999999995,0.9199999999999999,0.1999999999999993,0.08999999999999986,,0.31101627324341197,12.43608136621706,9.32591863378294,High
BMO.TO,2014-12-02,81.41999799999999,-0.4099959999999925,-1.150000999999989,-2.129996999999989,-1.6599959999999925,-5.739997999999986,0.32438535945946834,84.75192629729736,81.50807270270266,Low
BMO.TO,2014-12-03,81.010002,-0.8000030000000038,-1.6600040000000007,-3.3499979999999994,-0.75,-5.529999000000004,0.37296298685420576,84.92281433427102,81.19318446572898,Low
BMO.TO,2014-12-04,80.209999,0.05999800000000732,-0.9199979999999925,-2.0,0.44000300000000436,-4.589995999999999,0.48868759545203877,85.34743727726018,80.4605613227398,Low
BMO.TO,2015-01-09,78.269997,-0.75,-2.9599990000000105,-2.5899969999999968,0.1700050000000033,-0.8900000000000006,0.4794871430927668,83.59343561546383,78.79856418453618,Low
BMO.TO,2015-01-12,77.519997,-1.1899949999999961,-2.2999960000000073,-2.039994000000007,0.6200019999999995,-1.6899949999999961,0.5977926524916652,83.84396286245833,77.86603633754167,Low
BMO.TO,2015-01-13,76.33000200000001,-1.0200040000000143,-0.6500020000000006,-0.7099990000000105,1.7799989999999895,0.6799999999999926,0.7754206971127701,84.31110248556385,76.55689551443615,Low
